,status_id,user_id,created_at,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favourites_count,retweet_count,country_code,place_full_name,place_type,followers_count,friends_count,account_lang,account_created_at,verified,lang
25392689,1254633275525484544,1153522447729037312,2020-04-27T04:47:37Z,bohemianglytz,"US States: Highest % cases overall
#NewJersey #NewYork #Connecticut #Massachusetts #Colorado #DC #Delaware #Pennsylvania #Illinois  #Michigan 
4/24/20
#coronavirus #covid19 #covid #Coronavirustruth #CoronavirusLiar #CoronaLockdown #CoronaWillEndSoon #CoronavirusOutbreak #COVID19 https://t.co/RBnUcLRID9",Twitter Web App,,,,False,False,559,0,,,,29,551,,2019-07-23T04:29:17Z,False,en
25394198,1254636021561430016,1153522447729037312,2020-04-27T04:58:32Z,bohemianglytz,"US States: Largest increase in % overall positive tests.
#Delaware #Nebraska #Iowa #Indiana #Minnesota #Louisiana #Wyoming #Maine #Colorado #Oklahoma 
4/24/20
#coronavirus #covid19 #covid #Coronavirustruth #CoronavirusLiar #CoronaLockdown #CoronaWillEndSoon #CoronavirusOutbreak https://t.co/jjUJiBU6V9",Twitter Web App,,,,False,False,559,0,,,,29,551,,2019-07-23T04:29:17Z,False,en
25395289,1254637736125857793,1153522447729037312,2020-04-27T05:05:20Z,bohemianglytz,"US States: Most cases per capita
#NewYork #NewJersey #Massachusetts #Connecticut #RhodeIsland #Louisiana #DC #Delaware #Michigan #Illionois 
4/24/20
#coronavirus #covid19 #covid #Coronavirustruth #CoronavirusLiar #CoronaLockdown #CoronaWillEndSoon #CoronavirusOutbreak #covidsafe https://t.co/y2gkK5i9tB",Twitter Web App,,,,False,False,559,0,,,,29,551,,2019-07-23T04:29:17Z,False,ca
25395757,1254638512428679168,1204568769324048384,2020-04-27T05:08:26Z,embwromero,Many Delaware providers are stepping up to help!! Go to #helpisherede to find the right support for you or a friend... #nostigma #coronavirus #mentalhealth https://t.co/gsQBbwMwYF,Twitter for iPhone,,,,True,False,238,2,,,,50,119,,2019-12-11T01:09:25Z,False,en
25398220,1254642566160498688,1153522447729037312,2020-04-27T05:24:32Z,bohemianglytz,"US States (that reported tests) with highest % positive tests today.
#NewJersey #Indiana #Connecticut #Delaware #Nebraska #Colorado #Iowa #NewYork #India #DC
4/24/20
#coronavirus #covid19 #CoronavirusLiar #CoronaLockdown #CoronaWillEndSoon #CoronavirusOutbreak #COVID19 #covid-19 https://t.co/Jp1I5fk5pL",Twitter Web App,,,,False,False,559,0,,,,29,551,,2019-07-23T04:29:17Z,False,en
25405144,1254652209192566784,1153522447729037312,2020-04-27T06:02:51Z,bohemianglytz,"US: Largest % increase cases this week
#Nebraska #Iowa #Kansas #Arkansas #Delaware #RhodeIsland #Minnesota #Massachusetts #NewMexico #Illinois 4/26/20
#Coronavirus #Covid19 #Coronavirustruth #CoronaVirusHOAX #CoronaLockdown #CoronaWillEndSoon #CoronaUpdates #CoronavirusOutbreak https://t.co/kngE4aKiN9",Twitter Web App,,,,False,False,559,1,,,,29,551,,2019-07-23T04:29:17Z,False,en
25423740,1254674590640541701,144074162,2020-04-27T07:31:47Z,thinkinginwords,"I've donated to @DelmarvaBlood almost 10 times but after last time never again. 4/23: They are not keeping the community safe with their lax hygienic protections. Plus, you're not even treated like a person anymore. #theydontcare @Delaware_DHSS #covid19 #facemask @John_Carney https://t.co/AB28UmFTLZ",Twitter Web App,,,,False,False,697,0,,,,374,171,,2010-05-15T06:37:16Z,False,en
25427587,1254678738048110592,2969764833,2020-04-27T07:48:16Z,EntEnt_Ravensbo,"delaware_gov: Watch the live press briefing on coronavirus from JohnCarneyDE, DelawareEMA, and Delaware_DHSS starting in the next few minutes:

https://t.co/mt41YRhW0Z

Friday, April 24, 2020
#netDE #Delaware #coronavirus",IFTTT,,,,False,False,0,0,,,,40,68,,2015-01-09T14:43:38Z,False,en
25469074,1254714848203673602,16083576,2020-04-27T10:11:45Z,CBSPhilly,"#Coronavirus #Delaware: Face Masks To Be Required At Essential Businesses, Public Transportation Starting Tuesday https://t.co/cMyXAOb8a1",Twitter Web Client,,,,False,False,4392,2,,,,196259,1275,,2008-09-01T15:25:37Z,True,en
25475004,1254719722018541573,1466639136,2020-04-27T10:31:07Z,IndustryEurope,"Many companies are diversifying their #manufacturing operations to develop new products to fight the outbreak of #Covid19. Richard Seel, MD of 
@delawarepro explains how companies are making this production pivot possible...
https://t.co/RriEAF5N29 https://t.co/dMCQfD7T4K",Twitter Web App,,,,False,False,328,0,,,,1366,1013,,2013-05-29T07:37:50Z,False,en
